TradeDate,MMType,Ccy,Start,End,Notional,Index,Rate,Cpty,Company,Desk,Book
20141031,LOAN,EUR,20141031,1M,4632297.85,FIXED,-0.0040,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,1M,13239760.62,FIXED,0.0165,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,1M,380649337.55,FIXED,0.0009,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,2M,8466331.67,FIXED,0.0070,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,2M,10243245.94,FIXED,0.0153,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,2M,10312547.41,FIXED,0.0701,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,3M,12968053.09,FIXED,0.0416,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,3M,25486516.59,FIXED,0.0110,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,3M,40494650.85,FIXED,0.0058,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,4M,12986640.48,FIXED,0.0312,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,4M,9464721.06,FIXED,0.0206,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,4M,28555909.97,FIXED,0.0189,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,5M,2596893.84,FIXED,-0.0224,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,5M,6946872.15,FIXED,0.0335,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,5M,29394806.80,FIXED,0.0190,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,6M,2266911.06,FIXED,0.0084,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,6M,10120531.94,FIXED,0.0210,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,6M,8730520.93,FIXED,0.0181,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,7M,7442916.70,FIXED,0.0140,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,7M,6056055.18,FIXED,0.0093,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,7M,25759523.92,FIXED,0.0082,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,8M,8145874.38,FIXED,0.0096,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,8M,7720723.91,FIXED,0.0217,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,8M,50797333.78,FIXED,0.0107,INTEINT,INGLU,LUDESK,LUMMCB
20141031,LOAN,EUR,20141031,9M,9786806.91,FIXED,0.0249,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,9M,39216790.43,FIXED,0.0183,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,10M,1504296.08,FIXED,0.0553,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,10M,1616283.41,FIXED,0.0129,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,10M,57770351.12,FIXED,0.0067,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,11M,4311295.61,FIXED,0.0091,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,11M,2379407.78,FIXED,0.0106,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,11M,19895073.03,FIXED,0.0097,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,12M,4663582.47,FIXED,0.0045,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,12M,4882712.63,FIXED,0.0239,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,12M,24149710.29,FIXED,0.0239,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,13M,5490078.55,FIXED,0.0197,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,13M,3560525.08,FIXED,0.0117,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,13M,35402035.92,FIXED,0.0135,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,14M,9346806.05,FIXED,0.0096,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,14M,7919247.00,FIXED,0.0161,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,14M,91174340.00,FIXED,0.0170,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,15M,14052639.69,FIXED,0.0121,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,15M,14040536.85,FIXED,0.0158,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,15M,65831100.19,FIXED,0.0107,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,16M,4328880.17,FIXED,0.0347,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,16M,1711495.02,FIXED,0.0347,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,16M,57770351.12,FIXED,0.0077,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,17M,1602042.83,FIXED,-0.0067,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,17M,14108468.33,FIXED,0.0246,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,17M,42285452.69,FIXED,0.0125,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,18M,9720145.55,FIXED,0.0116,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,18M,26191562.82,FIXED,0.0205,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,19M,4532330.98,FIXED,0.0100,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,19M,1555983.30,FIXED,0.0156,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,19M,14178601.76,FIXED,0.0176,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,20M,8884819.03,FIXED,0.0103,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,20M,25450688.99,FIXED,0.0187,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,21M,764425.44,FIXED,0.0317,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,21M,6435999.42,FIXED,0.0279,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,21M,56640565.92,FIXED,0.0159,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,22M,3969894.47,FIXED,0.0283,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,22M,9393284.00,FIXED,0.0056,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,22M,24553188.59,FIXED,0.0150,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,23M,3775098.37,FIXED,0.0135,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,23M,57475355.03,FIXED,0.0106,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,24M,1627570.88,FIXED,0.0273,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,24M,57770351.12,FIXED,0.0093,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,25M,2130507.72,FIXED,0.0158,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,25M,59528196.47,FIXED,0.0115,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,26M,12774144.91,FIXED,0.0186,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,26M,9769620.85,FIXED,0.0232,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,26M,57475355.03,FIXED,0.0114,INTEINT,INGLU,LUDESK,LUMMCB
20141031,LOAN,EUR,20141031,27M,8274912.88,FIXED,0.0253,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,27M,27783151.05,FIXED,0.0199,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,27M,10067978.78,FIXED,0.0254,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,28M,6690140.47,FIXED,0.0144,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,28M,17902575.84,FIXED,0.0410,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,29M,8746018.45,FIXED,0.0197,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,29M,11392588.13,FIXED,0.0247,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,29M,21404428.87,FIXED,0.0290,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,30M,8345020.11,FIXED,0.0129,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,30M,6499108.71,FIXED,0.0239,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,30M,43652604.70,FIXED,0.0239,INTEINT,INGLU,LUDESK,LUMMCB
20141031,LOAN,EUR,20141031,31M,4821207.03,FIXED,0.0129,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,31M,3111966.61,FIXED,0.0197,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,31M,21375324.42,FIXED,0.0204,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,32M,5430582.91,FIXED,0.0168,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,32M,9465328.04,FIXED,0.0221,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,32M,38176033.47,FIXED,0.0221,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,33M,1511274.03,FIXED,0.0162,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,33M,7632073.23,FIXED,0.0193,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,33M,84960848.87,FIXED,0.0193,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,34M,3570611.11,FIXED,0.0184,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,34M,2424425.12,FIXED,0.0184,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,34M,36829782.88,FIXED,0.0184,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,35M,2874197.06,FIXED,0.0164,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,35M,13967702.28,FIXED,0.0094,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,35M,62831685.44,FIXED,0.0164,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,36M,4543125.37,FIXED,0.0175,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,36M,57770351.10,FIXED,0.0115,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,37M,6391523.17,FIXED,0.0191,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,37M,53962428.11,FIXED,0.0191,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,38M,6705382.89,FIXED,0.0150,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,38M,12240429.67,FIXED,0.0172,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,38M,84496400.81,FIXED,0.0182,INTEINT,INGLU,LUDESK,LUMMCB
20141031,LOAN,EUR,20141031,39M,574171.02,FIXED,0.2497,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,39M,20688061.53,FIXED,0.0172,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,39M,47741260.32,FIXED,0.0069,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,40M,5413421.76,FIXED,0.0122,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,41M,4275571.09,FIXED,0.0167,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,41M,5967996.81,FIXED,0.0167,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,42M,11142457.63,FIXED,0.0114,INTEINT,INGLU,LUDESK,LUMMRE
20141031,LOAN,EUR,20141031,42M,7875904.17,FIXED,0.0114,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,43M,5463606.49,FIXED,0.0103,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,43M,2991195.34,FIXED,0.0189,INTEINT,INGLU,LUDESK,LUMMRE
20141031,LOAN,EUR,20141031,43M,1647133.96,FIXED,0.0114,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,44M,2379407.78,FIXED,0.0195,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,44M,23870630.16,FIXED,0.0076,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,45M,13738280.61,FIXED,0.0108,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,45M,65100688.55,FIXED,0.0190,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,46M,3608530.03,FIXED,0.0205,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,47M,14645302.38,FIXED,0.0106,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,47M,62831685.44,FIXED,0.0193,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,49M,10894003.96,FIXED,0.0160,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,49M,37827966.96,FIXED,0.0160,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,50M,6705382.88,FIXED,0.0181,INTEINT,INGLU,LUDESK,LUMMPB
20141031,LOAN,EUR,20141031,51M,3658382.53,FIXED,0.0176,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,51M,3632379.96,FIXED,0.0176,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,51M,26996433.90,FIXED,0.0157,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,52M,10826843.53,FIXED,0.0152,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,52M,47741260.32,FIXED,0.0088,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,53M,23870630.16,FIXED,0.0089,INTEINT,INGLU,LUDESK,LUMMCB
20141031,LOAN,EUR,20141031,54M,9451085.00,FIXED,0.0137,INTEINT,INGLU,LUDESK,LUMMCB
20141031,LOAN,EUR,20141031,55M,688743.86,FIXED,0.0000,INTEINT,INGLU,LUDESK,LUMMPB
20141031,LOAN,EUR,20141031,55M,466993.58,FIXED,0.0000,INTEINT,INGLU,LUDESK,LUMMRE
20141031,LOAN,EUR,20141031,55M,716145.18,FIXED,0.0137,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,56M,16897763.19,FIXED,0.0096,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,57M,143223780.98,FIXED,0.0096,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,59M,57761959.13,FIXED,0.0075,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,61M,10894003.95,FIXED,0.0188,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,62M,7695115.14,FIXED,0.0208,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,63M,5923095.53,FIXED,0.0183,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,63M,13034118.04,FIXED,0.0216,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,65M,5967996.81,FIXED,0.0220,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,66M,6073435.75,FIXED,0.0195,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,67M,4041930.88,FIXED,0.0220,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,68M,16675452.26,FIXED,0.0139,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,69M,10417219.85,FIXED,0.0161,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,70M,3608530.02,FIXED,0.0259,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,74M,11542672.69,FIXED,0.0233,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,76M,5413421.76,FIXED,0.0205,INTEINT,INGLU,LUDESK,LUMMRE
20141031,LOAN,EUR,20141031,79M,1033115.80,FIXED,0.0000,INTEINT,INGLU,LUDESK,LUMMPB
20141031,LOAN,EUR,20141031,79M,875612.96,FIXED,0.0000,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,81M,9963182.24,FIXED,0.0131,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,84M,3792990.82,FIXED,0.0095,INTEINT,INGLU,LUDESK,LUMMRE
